,Tiles,Average STD
0,29SND,0.0431486146095718
1,29SPC,0.043740909090909094
2,29SQB,0.03288495575221239
3,29TNE,0.05103012048192771
4,29TPE,0.041288135593220344
5,29TPH,0.047851851851851854
6,29TQF,0.04469747899159664
7,30STJ,0.03561068702290076
8,30TTK,0.03843243243243243
9,30TWK,0.040806451612903215
10,30TWM,0.044137931034482755
11,30TXR,0.04488235294117648
12,30TXS,0.0464375
13,30TYN,0.05040909090909091
14,30TYQ,0.05496296296296297
15,30TYR,0.04027777777777777
16,30UWB,0.06223076923076923
17,30UXD,0.04327272727272727
18,30UYU,0.054265151515151516
19,30UYV,0.0522962962962963
20,31TBF,0.03638582677165355
21,31TCG,0.033218750000000005
22,31TCN,0.04240000000000001
23,31TDH,0.04668421052631579
24,31TDJ,0.058714285714285705
25,31TDK,0.050850000000000006
26,31TEJ,0.04578947368421051
27,31TGN,0.046
28,31UES,0.0445
29,31UFP,0.04886096256684492
30,31UGS,0.04954545454545455
31,32TML,0.048857142857142856
32,32TNR,0.027960000000000002
33,32TPP,0.05454999999999999
34,32TPR,0.04192857142857143
35,32TPS,0.04414285714285715
36,32TPT,0.049
37,32TQM,0.046592592592592595
38,32TQP,0.04755555555555556
39,32UMC,0.04716666666666666
40,32UNC,0.04832857142857143
41,32UNG,0.04375
42,32UNU,0.048409090909090915
43,32UPC,0.047875
44,32UQC,0.057699999999999994
45,32VMM,0.07075000000000001
46,32VPP,0.06225000000000001
47,33SXD,0.03931250000000001
48,33TUN,0.059
49,33TVF,0.043541666666666666
50,33TWE,0.050749999999999997
51,33TXJ,0.04418181818181819
52,33TXN,0.033625
53,33TYM,0.029733333333333337
54,33TYN,0.042
55,33UVR,0.05956756756756756
56,33UWT,0.055453488372093025
57,33UXP,0.04807438016528927
58,33UXQ,0.04283333333333332
59,33VUE,0.05323076923076922
60,33VUF,0.047152542372881356
61,33VUG,0.0514736842105263
62,33VVG,0.05198245614035088
63,33VWE,0.043166666666666666
64,33VXG,0.059666666666666666
65,33VXH,0.056874999999999995
66,34SEJ,0.040114285714285706
67,34SFF,0.04871604938271606
68,34TCL,0.023758620689655178
69,34TCQ,0.03143478260869566
70,34TDK,0.0320909090909091
71,34TDM,0.024950000000000007
72,34TDP,0.047375
73,34TDQ,0.030733333333333335
74,34TEL,0.04003571428571428
75,34TET,0.03661538461538462
76,34TFL,0.027644067796610168
77,34TFN,0.05927586206896552
78,34TFP,0.0362
79,34TFT,0.037578947368421066
80,34VCL,0.051047619047619064
81,34VFQ,0.06229166666666667
