,Tile,SSIM
0,29SND,0.6273033740974984
1,29SPC,0.6412489498184097
2,29SQB,0.6621070263533775
3,30STJ,0.612474682561536
4,33SXD,0.4091815074811321
5,34SEJ,0.48789672937661327
6,34SFF,0.5690608089756117
7,29TNE,0.6484585220999161
8,29TPE,0.6481445588406385
9,29TPH,0.5913538802944933
10,29TQF,0.5699927083875953
11,30TTK,0.6627625472145932
12,30TWK,0.5499687371745662
13,30TWM,0.45399829619075543
14,30TXR,0.444137557667659
15,30TXS,0.25565723896364984
16,30TYN,0.6692230874076324
17,30TYQ,0.5020074900542797
18,30TYR,0.4577345636781044
19,31TBF,0.5577571954681406
20,31TCG,0.42992620707113305
21,31TCN,0.5288577424326464
22,31TDH,0.6382113902130405
23,31TDJ,0.6242067744953106
24,31TDK,0.47139421966888406
25,31TEJ,0.6288196516243476
26,31TGN,0.428761419980039
27,32TML,0.5668667061286035
28,32TNR,0.338652862632874
29,32TPP,0.596740714901654
30,32TPR,0.30972776212210634
31,32TPS,0.47175522991677404
32,32TPT,0.4016365507379386
33,32TQM,0.5866191289995425
34,32TQP,0.4820889095025238
35,33TUN,0.48372792884190297
36,33TVF,0.5655272212700914
37,33TWE,0.6181474674229087
38,33TXJ,0.6890497905190586
39,33TXN,0.43260708533567455
40,33TYM,0.5116165297037958
41,33TYN,0.3913448890259175
42,34TCL,0.4345019150217243
43,34TCQ,0.4189638293633144
44,34TDK,0.605472364881668
45,34TDM,0.5939680077544252
46,34TDP,0.5020760905690724
47,34TDQ,0.4086819998488757
48,34TEL,0.6050172929596906
49,34TET,0.44102200758533794
50,34TFL,0.45551331623723496
51,34TFN,0.5968087725189533
52,34TFP,0.5323276529449493
53,34TFT,0.5283881306832229
54,30UWB,0.41544261362464435
55,30UXD,0.3410314052357186
56,30UYU,0.3691050688968666
57,30UYV,0.3595122848253259
58,31UES,0.21157905906674332
59,31UFP,0.45055109096167906
60,31UGS,0.4315861281080245
61,32UMC,0.324202286358364
62,32UNC,0.4137776930507645
63,32UNG,0.311171731561573
64,32UNU,0.34589175960289803
65,32UPC,0.4048828294377691
66,32UQC,0.4603415747495436
67,33UVR,0.4599122081115903
68,33UWT,0.4249809347661012
69,33UXP,0.38767211958339937
70,33UXQ,0.4324154317210979
71,32VMM,0.6529508903649671
72,32VPP,0.7267916439763272
73,33VUE,0.541623804289806
74,33VUF,0.6590915916415854
75,33VUG,0.7629353623195338
76,33VVG,0.7475578126668776
77,33VWE,0.49155840517088883
78,33VXG,0.6579597389356705
79,33VXH,0.5324404233603917
80,34VCL,0.65003175637988
81,34VFQ,0.6625243539668689
