,TileNames,SSIM
0,29SND,0.56877047
1,29SPC,0.5970801
2,29SQB,0.7668206
3,29TNE,0.5438807
4,29TPE,0.6931981
5,29TPH,0.71256477
6,29TQF,0.6011913
7,30STJ,0.7087906
8,30TTK,0.648465
9,30TWK,0.7203884
10,30TWM,0.62839943
11,30TXR,0.44750452
12,30TXS,0.50183916
13,30TYN,0.64861125
14,30TYQ,0.42975956
15,30TYR,0.39252758
16,30UWB,0.3767935
17,30UXD,0.47317743
18,30UYU,0.46765983
19,30UYV,0.4848929
20,31TBF,0.6212966
21,31TCG,0.6814877
22,31TCN,0.4880188
23,31TDH,0.5150198
24,31TDJ,0.6199481
25,31TDK,0.534194
26,31TEJ,0.61372906
27,31TGN,0.6209917
28,31UES,0.49036908
29,31UFP,0.5376104
30,31UGS,0.5659682
31,32TML,0.60701627
32,32TNR,0.64855677
33,32TPP,0.6205148
34,32TPR,0.5934729
35,32TPS,0.52018327
36,32TPT,0.35624877
37,32TQM,0.66722226
38,32TQP,0.68221754
39,32UMC,0.41425732
40,32UNC,0.4822258
41,32UNG,0.5027091
42,32UNU,0.42247725
43,32UPC,0.4260574
44,32UQC,0.433541
45,32VMM,0.41809335
46,32VPP,0.4352952
47,33SXD,0.6682942
48,33TUN,0.5045238
49,33TVF,0.6635249
50,33TWE,0.6223038
51,33TXJ,0.67430973
52,33TXN,0.6028017
53,33TYM,0.60807884
54,33TYN,0.5708389
55,33UVR,0.5319307
56,33UWT,0.5055346
57,33UXP,0.5375631
58,33UXQ,0.53472215
59,33VUE,0.49143606
60,33VUF,0.41156432
61,33VUG,0.32301632
62,33VVG,0.28854498
63,33VWE,0.52705157
64,33VXG,0.38509613
65,33VXH,0.40448868
66,34SEJ,0.6346315
67,34SFF,0.62454766
68,34TCL,0.7840209
69,34TCQ,0.64055353
70,34TDK,0.7420592
71,34TDM,0.73517716
72,34TDP,0.67612326
73,34TDQ,0.7573618
74,34TEL,0.70651495
75,34TET,0.6097069
76,34TFL,0.70802224
77,34TFN,0.5153328
78,34TFP,0.73897105
79,34TFT,0.62572247
80,34VCL,0.49988356
81,34VFQ,0.46806285
